"name","description","owner","is_private","url","updated_at","created_at","license","primary_language","homepage_url","is_fork","created_year","license_dummy","primary_language_ext","primary_language_ext2","homepage_url_dummy","publication_type"
"incinerator-design-cape-maclear",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/incinerator-design-cape-maclear","2024-07-02","2024-04-08","Creative Commons Attribution 4.0 International","JavaScript","https://global-health-engineering.github.io/incinerator-design-cape-maclear/",FALSE,2024,FALSE,"JavaScript","Other language","Homepage","Code"
"manuscript-aae-2024","Contains analysis code for figures and tables in the manuscript","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/manuscript-aae-2024","2024-04-04","2024-04-03","MIT License","R",NA,FALSE,2024,FALSE,"R","R","No homepage","Code"
"prop-eth-ord-explore-template",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/prop-eth-ord-explore-template","2025-07-01","2023-12-07","Creative Commons Attribution 4.0 International","TeX",NA,FALSE,2023,FALSE,"TeX","Other language","No homepage","Template"
"manuscript-qechairquality","Reproducible manuscript for submission to a journal","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/manuscript-qechairquality","2023-04-18","2023-04-04",NA,"TeX",NA,FALSE,2023,TRUE,"TeX","Other language","No homepage","Code"
"proposal-innovedum-2023",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/proposal-innovedum-2023","2025-07-01","2023-08-31",NA,"HTML",NA,FALSE,2023,TRUE,"HTML","Other language","No homepage","Code"
"durbanplasticwaste","R data package for MSc projects on plastic waste","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/durbanplasticwaste","2023-07-24","2023-02-21","Creative Commons Attribution 4.0 International","R","https://global-health-engineering.github.io/durbanplasticwaste/",FALSE,2023,FALSE,"R","R","Homepage","Code"
"data-public-waste-skips-blantyre",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/data-public-waste-skips-blantyre","2023-04-24","2022-04-19","Creative Commons Attribution 4.0 International","R","https://global-health-engineering.github.io/data-public-waste-skips-blantyre/",FALSE,2022,FALSE,"R","R","Homepage","Code"
"2022-msc-sem-proj-nseemann",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/2022-msc-sem-proj-nseemann","2023-09-25","2022-09-16","Other","Jupyter Notebook",NA,FALSE,2022,FALSE,"Python","Python","No homepage","Student paper"
"ghe-dms","Data Management Strategy of the Global Health Engineering Group at ETH Zurich","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/ghe-dms","2025-07-01","2023-06-07",NA,"TeX",NA,FALSE,2023,TRUE,"TeX","Other language","No homepage","Code"
"dmp-sor4d",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/dmp-sor4d","2025-07-01","2022-09-27","Creative Commons Attribution Share Alike 4.0 International",NA,NA,FALSE,2022,FALSE,"No primary language","No primary language","No homepage","Code"
"eth-data-stewardship",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/eth-data-stewardship","2025-07-01","2022-11-14",NA,"JavaScript",NA,FALSE,2022,TRUE,"JavaScript","Other language","No homepage","Code"
"blantyreseeingwaste",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/blantyreseeingwaste","2025-07-01","2023-05-02",NA,"R",NA,FALSE,2023,TRUE,"R","R","No homepage","Code"
"manuscript-maize-mills",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/manuscript-maize-mills","2025-07-01","2022-04-19","Other","R","https://global-health-engineering.github.io/manuscript-maize-mills/",FALSE,2022,FALSE,"R","R","Homepage","Code"
"qechairquality","This repository contains the data and code for a manuscript on hospital air quality data","Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/qechairquality","2023-04-13","2021-10-19","Creative Commons Attribution 4.0 International","TeX","https://global-health-engineering.github.io/qechairquality/",FALSE,2021,FALSE,"TeX","Other language","Homepage","Code"
"manuscript-biogas-malawi",NA,"Global-Health-Engineering","Public","https://github.com/Global-Health-Engineering/manuscript-biogas-malawi","2025-07-01","2022-11-28",NA,"R",NA,FALSE,2022,TRUE,"R","R","No homepage","Code"
