uuid,name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
703928a7-3e18-43ba-a235-dd712b4e5e26,The Cost of Plastics in Compost,https://doi.org/10.3929/ethz-b-000529439,Has DOI,Journal Article,Scientific Article,2021-11,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
aaec84bb-f22c-47f3-8c34-0b06d9b45d76,"Technical Documentation: Design of an HDPE bottle collection and pre-cleaning system for recycling in Blantyre, Malawi",,No DOI,Other Research Data,Other publication,2024-04-09,2024,No license,No license,No license
a596fbe1-6cc4-45c3-9264-5040c42be141,Community-wide Waste Management System for Cape Maclear,https://doi.org/10.3929/ethz-b-000695292,Has DOI,Report,Other publication,2024-09-20,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
ab360f7a-7462-450b-9a69-1d2674e4f692,Design and Optimization of a Biogas Burner,https://doi.org/10.3929/ethz-b-000729925,Has DOI,Student Paper,Student Paper,2025-04,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
a8eaab0d-f98c-4520-8ac1-1f1e503b2171,"Pit emptying subsidy vouchers: a two-phased targeting and structuring experiment in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000513621,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
9cc98b6a-9e90-4ebe-930d-190177a4a419,Expanding horizons: The pedagogical benefits of museum visits for engineering students,https://doi.org/10.3929/ethz-b-000738003,Has DOI,Journal Article,Scientific Article,2025-05-26,2025,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
9b6fa712-8963-4214-8964-5adb2ee3f833,Microcontroller Based Particulate Matter Monitors Utilising the Alphasense OPC-N3,https://doi.org/10.3929/ethz-b-000681057,Has DOI,Bachelor Thesis,Student Paper,2023-12,2023,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
9b21ff8a-dccf-4ec4-830c-7fda5c19024c,Energy production of Black Soldier Fly Larvae: Measuring the temperature increase in air induced by Black Soldier Flies throughout their larval stages,https://doi.org/10.3929/ethz-b-000583323,Has DOI,Student Paper,Student Paper,2022-03,2022,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
c42611e5-1104-4c8a-9e63-1f206d76f5a4,“Where does it go?”: Perceptions and problems of riverine and marine litter amongst South Africa and Malawi’s urban poor,https://doi.org/10.3929/ethz-b-000541554,Has DOI,Journal Article,Scientific Article,2022-03-07,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
c5602fc8-2a30-4ca7-83bf-477d39c2fe2b,Solar Pasteurisation for Anaerobic Digestion Sludge,https://doi.org/10.3929/ethz-b-000700054,Has DOI,Master Thesis,Student Paper,2024-10-01,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
c5abbe75-0a2c-432f-b36f-e19b23d4c2b0,Transforming Waste into Value: A Study on PET Recycling for Insulation Solutions in Malawi,https://doi.org/10.3929/ethz-b-000730636,Has DOI,Master Thesis,Student Paper,2025-03-31,2025,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
c3228596-df03-41af-b43c-59bcc35a2c36,"Becoming 'Swiss': waste management integration among Ethiopian and Eritrean migrants in Zürich, Switzerland",https://doi.org/10.3929/ethz-b-000690810,Has DOI,Journal Article,Scientific Article,2024-08-05,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
c1abe288-ec08-425f-8021-cd30f78eb868,"Poverty, politics and plastic: Organic waste sorting in Blantyre's public markets",https://doi.org/10.3929/ethz-b-000492085,Has DOI,Journal Article,Scientific Article,2021-09,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
ba1cec12-e0c4-439c-a0aa-f3b8544c552e,"Optimizing Municipal Solid Waste Management in Blantyre, Malawi using Mixed-Integer Linear Programming",https://doi.org/10.3929/ethz-b-000694404,Has DOI,Bachelor Thesis,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
d15b8003-90ee-44a4-a748-97362b984c6a,Impact of sampling depth on pathogen detection in pit latrines,https://doi.org/10.3929/ethz-b-000493678,Has DOI,Journal Article,Scientific Article,2021-03-02,2021,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
d15fb226-6803-453d-b1f3-5bccd9687063,Investigating the Optimization Potential of Brick Clamps in Malawi,https://doi.org/10.3929/ethz-b-000580955,Has DOI,Student Paper,Student Paper,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
d06a6b15-428e-411e-9c2e-e59c62ca71b1,Experimental Optimization of a Peristaltic Pump Prototype for Pit-Emptying,https://doi.org/10.3929/ethz-b-000662241,Has DOI,Bachelor Thesis,Student Paper,2024-02,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
d0c6af2e-64b8-4d23-88bc-1f7ff6f4cc27,From failure to fairness: A call for accountability within household biogas development,https://doi.org/10.3929/ethz-b-000678505,Has DOI,Journal Article,Scientific Article,2024-09,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
d22e5787-9de7-4f16-8e86-a18fd0877111,"Development of a Low-Cost Incinerator in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000670633,Has DOI,Master Thesis,Student Paper,2024-04,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
ec9f72c4-aedb-45ad-ac1a-ed92a4c7eee1,Inclusion of Malawian Youth in Higher Education,https://doi.org/10.3929/ethz-b-000585695,Has DOI,Report,Other publication,2022-05-18,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
