degree,type,b_m_student,start_date,end_date,year,status,eth_department,partner_organisation,thesis_title,data_publication_link,eth_collection_link
bsc,thesis,yes,NA,2025-03-11,NA,archived,MAVT,NA,Exploring Injection Molding for the Development of a Sensor Casings in Biogas Monitoring System,,https://www.research-collection.ethz.ch/handle/20.500.11850/726145
msc,thesis,yes,NA,2025-04-24,NA,archived,MAVT,NA,Improving the solar sludge pasteurization technology,,NA
msc,thesis,yes,NA,2024-04-14,NA,archived,MAVT,NA,"Air quality monitoring from open waste burning and incinerator burning in Cape Maclear, Malawi",,NA
msc,thesis,yes,NA,2025-05-02,NA,archived,USYS,"Patt Anthony, ERZ",Model and visualization of recyclable material collection network,,NA
msc,sem-proj,yes,NA,2024-12-13,NA,archived,MAVT,NA,Examination of the potential for recycling of absorbent hygiene product waste in South Africa,,NA
msc,sem-proj,yes,NA,2024-12-04,NA,archived,MAVT,NA,Life Cycle Analysis of biogas digesters,,NA
msc,thesis,yes,NA,NA,NA,in-progress,USYS,Johanna Jacobi,Drip irrigation feasibility study for Cape Maclear,,NA
msc,sem-proj,yes,NA,2025-03-11,NA,archived,MAVT,NA,Literature Review on Feasibility of Manufacturing Low-cost Black Carbon Monitors,,https://www.research-collection.ethz.ch/handle/20.500.11850/726792
bsc,thesis,yes,NA,2025-03-11,NA,archived,MAVT,NA,Monitoring of improved cookstoves: from prototyping to small batch manufacturing,,NA
bsc,thesis,yes,NA,2025-01-20,NA,archived,MAVT,NA,Effluent flow meter,,https://www.research-collection.ethz.ch/handle/20.500.11850/721056
msc,thesis,yes,NA,2025-03-07,NA,archived,MAVT,NA,"Collaborative toilet design, manufacturing, and testing",,NA
msc,thesis,yes,NA,2025-05-12,NA,archived,GESS,ISTP,Estimating uncertainty in past biogas offsett projects and methodologies,,NA
msc,sem-proj,yes,NA,2024-10-22,NA,archived,MAVT,Openversum,Analysis of PLA-based Membranes Undergoing Mechanical Processing,,NA
msc,thesis,yes,NA,2025-04-28,NA,archived,MAVT,Openversum,Feasibility Study of Modular Water Filters,,NA
msc,sem-proj,yes,NA,2025-01-10,NA,archived,MAVT,NA,Impact of Hydrogen Sulfide on Biogas Burning and Removal Evaluation,,NA
staff,hiwi,no,NA,2025-01-05,NA,archived,MEST,NA,NA,,NA
msc,case-study,yes,NA,NA,NA,archived,GESS,NA,The role of language and its implications on extending colonialism and hindering cross-cultural cooperation.,,NA
msc,thesis,yes,NA,2025-07-21,NA,archived,ITET,NA,Development and Testing of a Bidirectional Charger for Heath Facility Energy Provision,,NA
msc,thesis,yes,NA,NA,NA,archived,ITET,NA,Development of a preference elicitation framework for health providers’ energy preferences and finding optimal critical load sets,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,ERZ,Development of a Low-Cost Multiple-Wavelength Black Carbon Monitor,,NA
bsc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Repeatible Fecal Sludge Spreading on Petri Dishes,,NA
bsc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Advancements for Menstrual blood Management in reduced gravITY (AMMITY),,NA
msc,sem-proj,yes,NA,2025-04-04,NA,archived,MAVT,NA,Review of Low-cost Plastic Separation Technologies,,NA
msc,sem-proj,yes,NA,2025-03-23,NA,archived,MAVT,NA,CFD for biogas burner,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,NA,"So Long, Sharp Glass",,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Development and Testing of New Control Schemes for an Electrical Load Cabinet for Small Health Posts,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Remote communications infrastructure for an off-grid energy system,,NA
msc,thesis,yes,NA,2025-03-20,NA,archived,USYS,NA,Business Plan Development for Waste Management System in Cape Maclear,,NA
bsc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Flow rate monitor for pediatric intravenous fluid delivery in humanitarian settings,,NA
mob,student,no,NA,2025-05-23,NA,archived,MAVT,MIT,Guidline to Injection Molding,,NA
msc,sem-proj,yes,NA,2025-05-16,NA,archived,MAVT,NA,Smart biogas sensor testing,,NA
staff,intern,no,NA,2025-08-31,NA,archived,MAVT,NA,NA,,NA
staff,scientific-assistant,no,NA,2025-11-15,NA,archived,MAVT,NA,NA,,NA
bsc,thesis,yes,NA,NA,NA,archived,MAVT,NA,RFID solution for e-bike charging in Nairobi,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,ERZ,Black soldier fly larvae counting: hardware & software development,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Dataset Creation on the Energy Characteristics of Healthcare Appointments,,NA
staff,intern,no,NA,2025-05-10,NA,archived,INFK,NA,Software development for remote sensors and data logging to cloud,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,NA,Sludge pasteurization with solar water heaters - system optimization,,NA
msc,case-study,yes,NA,NA,NA,archived,GESS,NA,Indigenous food production in Puerto Rico,,NA
msc,thesis,yes,NA,NA,NA,archived,MAVT,NA,"Design, Numerical Optimization and Implementation of a Sludge Pasteurization System",,NA
msc,thesis,yes,NA,NA,NA,in-progress,BAUG,NA,Cleaning Plastic for Recycling,,NA
phd,thesis,no,NA,NA,NA,in-progress,NA,NA,Treatment of Biogas effluent,,NA
staff,scientific-assistant,no,NA,NA,NA,in-progress,NA,NA,NA,,NA
msc,sem-proj,yes,NA,2025-05-30,NA,archived,MAVT,NA,Life Cycle Assessment of the biogas monitoring technologies,,NA
msc,thesis,yes,NA,NA,NA,in-progress,MAVT,NA,Plastic sorting in Blantyre,,NA
staff,scientific-assistant,no,NA,NA,NA,in-progress,MAVT,NA,NA,,NA
msc,thesis,yes,NA,NA,NA,in-progress,MAVT,NA,Medical device database for Malawi’s healthcare facilities,,NA
msc,thesis,yes,NA,NA,NA,in-progress,MAVT,NA,Power quality and reliability database of Malawi’s healthcare facilities,,NA
staff,scientific-assistant,no,NA,NA,NA,in-progress,NA,NA,NA,,NA
staff,scientific-assistant,no,NA,2025-07-31,NA,archived,ITET,NA,NA,,NA
msc,thesis,yes,NA,2026-01-30,NA,in-progress,MAVT,NA,Gas and liquid flow measurements and control with ultrasound,,NA
staff,scientific-assistant,no,NA,2026-02-28,NA,in-progress,NA,NA,NA,,NA
bsc,thesis,yes,NA,2026-01-15,NA,in-progress,MAVT,NA,Automatic Paper Tape Feeder for Open Source Black Carbon Monitoring,,NA
bsc,thesis,yes,NA,2026-02-27,NA,in-progress,MAVT,NA,IV drip monitor v2,,NA
bsc,thesis,yes,NA,2026-01-15,NA,in-progress,MAVT,NA,Tool for siphon pipe removal in sewers,,NA
bsc,thesis,yes,NA,NA,NA,in-progress,MAVT,NA,Precision seeder and fertilizer dispenser (post-PDED),,NA
bsc,thesis,yes,NA,2026-02-28,NA,in-progress,MAVT,NA,Multichambered Toilet System,,NA
bsc,thesis,yes,NA,2026-01-09,NA,in-progress,MAVT,NA,Estimating errors of biogas carbon offsetting calculations from different methodologies,,NA
bsc,thesis,yes,NA,2026-01-12,NA,in-progress,MAVT,NA,Handwashing device for low-ressoruce settings,,NA
msc,sem-proj,yes,NA,2025-12-15,NA,in-progress,MAVT,NA,Water Vapor Extraction,,NA
msc,sem-proj,yes,NA,2026-02-01,NA,in-progress,MAVT,NA,"Design, Construction, and Testing of a Solar Thermal Concentrator for Biogas Effluent Pasteurization",,NA
msc,sem-proj,yes,NA,2026-01-15,NA,in-progress,MAVT,NA,Menstrual cup for space applications - silicon manufacturing,,NA
msc,sem-proj,yes,NA,NA,NA,in-progress,MAVT,diaxxo,"Development of a high-precision, high-throughput reagent dispensing system compatible with a rapid PCR testing machine",,NA
msc,thesis,yes,NA,2026-03-31,NA,in-progress,ITET,NA,Development of a control system for solar pasteurization system,,NA
msc,thesis,yes,NA,2026-04-10,NA,in-progress,MAVT,NA,"Waste Logistics in Cape Maclear, Malawi",,NA
bsc,thesis,yes,NA,NA,NA,in-progress,MAVT,NA,Automated Data Cleaning Tool,,NA
msc,sem-proj,yes,NA,NA,NA,in-progress,MAVT,NA,Testing and improving the open-source plastic scanner,,NA
msc,thesis,yes,NA,2026-04-15,NA,in-progress,MAVT,NA,Biogas-powered pasteurizer construction in Mzuzu,,NA
msc,sem-proj,yes,NA,2026-06-01,NA,in-progress,MAVT,NA,Incinerator operation in Blantyre,,NA
bsc,thesis,yes,NA,2025-12-31,NA,in-progress,MAVT,NA,Precision seeder and fertilizer dispenser (post-PDED),,NA
msc,sem-proj,yes,NA,2026-01-13,NA,in-progress,MAVT,Openversum,Water Filter Configuration,,NA
msc,thesis,yes,NA,NA,NA,in-progress,MAVT,NA,Pay to Go Charger for eWAKA,,NA
msc,thesis,yes,NA,NA,NA,in-progress,GESS,NA,Water point rehabilitation in Cape Maclear,,NA
msc,thesis,yes,NA,NA,NA,in-progress,MAVT,Imperial College of London,Biogas-powered gas turbine for electricity generation,,NA
msc,sem-proj,yes,NA,NA,NA,in-progress,MAVT,NA,Tipping bucket V2,,NA
msc,sem-proj,yes,NA,NA,NA,in-progress,MAVT,NA,Origami fencing,,NA
